o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
13711041,419317,O,133030.19,11-12-1997,4-NOT SPECIFIED,Clerk#000004014,0, the packages wake alongside of the thinly special deposit
13711042,440348,F,73052.45,17-07-1992,5-LOW,Clerk#000002646,0,k deposits solve according to the
13711043,676921,F,304597.21,18-02-1994,3-MEDIUM,Clerk#000004731,0,ular deposits. never regular platelets boost slyly slowly brave dinos! regula
13711044,254206,O,243977.92,07-11-1995,5-LOW,Clerk#000001680,0,"ial, ironic pinto beans integrate carefully special packages. furiously even"
13711045,419197,O,35319.58,11-07-1996,5-LOW,Clerk#000000053,0,posits above the quickly final theodolites believe according to t
13711137,377086,O,167633.22,16-01-1996,3-MEDIUM,Clerk#000004578,0,ingly bold platelets detect silently pending pinto 
13711138,176395,O,155741.78,22-07-1995,1-URGENT,Clerk#000001755,0,uthlessly furiously sly notornis. final p
13711139,646711,F,154004.72,26-08-1992,5-LOW,Clerk#000004422,0,s. slyly ironic requests sl
13711140,244580,O,124773.6,23-05-1996,1-URGENT,Clerk#000000130,0,le slyly blithely final deposits. express requests around the carefully expr
13711141,651043,O,244366.75,21-08-1995,1-URGENT,Clerk#000004886,0, thin packages above the bold accounts cajo
